timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-01-20T00:00:00.000Z";"2025-01-26T23:59:59.999Z";"2025-01-20T07:08:00.000Z";"2025-01-26T23:59:00.000Z";"2781";8.486385596;9.1953053814;7.8330566756;7.8352585088;1763420567.53;4489993888.84;"2025-01-26T23:59:59.999Z"
"2025-01-13T00:00:00.000Z";"2025-01-19T23:59:59.999Z";"2025-01-18T00:53:00.000Z";"2025-01-13T14:37:00.000Z";"2781";8.8272630869;9.8617625036;7.9767803642;8.4866128687;2434302880.93;4853570141.56;"2025-01-19T23:59:59.999Z"
"2025-01-06T00:00:00.000Z";"2025-01-12T23:59:59.999Z";"2025-01-07T13:48:00.000Z";"2025-01-09T20:25:00.000Z";"2781";10.0896510107;10.6329200208;8.481851982;8.8272630869;3245658658.66;4939891315.45;"2025-01-12T23:59:59.999Z"
"2024-12-30T00:00:00.000Z";"2025-01-05T23:59:59.999Z";"2025-01-05T22:46:00.000Z";"2025-01-01T11:08:00.000Z";"2781";8.8818480707;10.1473508685;8.4106204177;10.0896510107;2003447408.53;5635881135.62;"2025-01-05T23:59:59.999Z"
"2024-12-23T00:00:00.000Z";"2024-12-29T23:59:59.999Z";"2024-12-24T15:47:00.000Z";"2024-12-28T01:36:00.000Z";"2781";9.2124898369;9.9203520455;8.62346133;8.8818480707;2535368387.56;4950960222.9;"2024-12-29T23:59:59.999Z"
"2024-12-16T00:00:00.000Z";"2024-12-22T23:59:59.999Z";"2024-12-17T05:07:00.000Z";"2024-12-22T20:17:00.000Z";"2781";13.6543109429;14.3605903221;9.0037356741;9.2124898369;7114068837.88;5124577950.03;"2024-12-22T23:59:59.999Z"
"2024-12-09T00:00:00.000Z";"2024-12-15T23:59:59.999Z";"2024-12-14T00:31:00.000Z";"2024-12-10T18:13:00.000Z";"2781";14.5345824964;14.6792342535;10.7025709924;13.6543109429;4415598876.49;7579508378.48;"2024-12-15T23:59:59.999Z"
"2024-12-02T00:00:00.000Z";"2024-12-08T23:59:59.999Z";"2024-12-07T03:56:00.000Z";"2024-12-02T11:13:00.000Z";"2781";13.4363672342;15.2875675236;12.3490181694;14.4442228991;4579668074.41;7739944106.69;"2024-12-08T23:59:59.999Z"
"2024-11-25T00:00:00.000Z";"2024-12-01T23:59:59.999Z";"2024-12-01T15:49:00.000Z";"2024-11-26T11:43:00.000Z";"2781";12.4655238539;13.9048406618;10.9928308637;13.4360731166;3711397290.09;7184769026.33;"2024-12-01T23:59:59.999Z"
"2024-11-18T00:00:00.000Z";"2024-11-24T23:59:59.999Z";"2024-11-20T10:08:00.000Z";"2024-11-20T03:38:00.000Z";"2781";11.7868377089;13.3743108051;11.1452874434;12.4655238539;5187292333.19;6648098355.15;"2024-11-24T23:59:59.999Z"
